,station_code,capacity,station_name,latitude,longitude
301,10018,30.0,Square Alban Satragne,48.875388227727,2.3559567333359
302,10019,31.0,Paradis - Hauteville,48.87499995466676,2.3522757401923404
303,10020,11.0,Chabrol - d'Hauteville,48.877018388033,2.3513179644942
304,10021,15.0,Marché Saint-Quentin,48.877356057652,2.3545114456374
305,10023,14.0,Gare de l'Est - Verdun,48.876156054271,2.3609149083206
306,10025,15.0,Jemmapes - Ecluses Saint-Martin,48.87748519186726,2.3660067468881607
307,10026,59.0,Gare de l'Est - Chateau Landon,48.879305,2.362424
308,10027,20.0,Dunkerque - Alsace,48.879355,2.358379
309,10029,25.0,Dunkerque - Rocroy,48.880726,2.351464
310,10031,37.0,Louis Blanc - Aqueduc,48.882030182599,2.363561578095
311,10032,31.0,Claude Vellefaux - Hôpital Saint-Louis,48.872859139003,2.3700717069851
312,10033,24.0,Gare du Nord - Saint-Vincent de Paul,48.880955741648,2.3524305148385
313,10034,21.0,Louis Blanc - La Chapelle,48.884008964514,2.3599335551262
314,10036,28.0,Aqueduc - Villette,48.883886063895,2.367198803315
315,10037,27.0,Quai de Valmy,48.88126951579429,2.368186041712761
316,10039,25.0,Sambre et Meuse - Villette,48.874405666217,2.3738072379951
317,10041,18.0,Gare du Nord - La Chapelle,48.884178287286,2.3561057075858
318,10042,33.0,Enghien - Faubourg Poissonnière,48.872420063053,2.3483952362828
319,10105,25.0,Mazagran - Bonne Nouvelle,48.870047123655,2.3511248454452
320,10107,49.0,Gare du Nord - Hôpital Lariboisière,48.881949,2.352339
321,10110,31.0,Louis Blanc - Jemmapes,48.879330755297,2.3684485629201
322,10113,43.0,Parmentier - Hôpital Saint-Louis,48.871379874257,2.3698963836667
323,10114,60.0,Granges aux Belles - Hôpital Saint-Louis,48.874794994841,2.366669436985
324,10115,27.0,Granges aux Belles,48.8761373390584,2.3680844979417
325,10152,43.0,Gare du Nord - Place de Valenciennes,48.879089,2.354235
326,10161,31.0,Gare de l'Est - Faubourg-Saint-Martin,48.875642647477,2.3594588041306
327,10162,24.0,Alexandre Parodi - Quai de Valmy,48.879359419425,2.3665961623192
328,10164,34.0,Claude Vellefaux - Sambre et Meuse,48.875022,2.370478
329,10165,40.0,Gare de l'Est - Place du 11 Novembre 1918,48.876327,2.3585464
330,10166,16.0,Strasbourg - Saint-Denis,48.869601642433,2.3542908579111
331,10201,25.0,Magenta - Chabrol,48.876495350882,2.3560990020633
332,10202,30.0,Bichat - Grange aux Belles,48.873688,2.365015
333,10204,36.0,Dunkerque - Maubeuge,48.880432768947,2.3528900992907
334,10206,33.0,René Boulanger - Lancry,48.868769331741,2.3598745346052
335,10207,23.0,Charles Robin - Grange aux Belles,48.877376705016,2.3698456519833
336,11001,53.0,Richard Lenoir - Place de la Bastille,48.8538327,2.3697222
337,11002,23.0,Roquette - Thiéré,48.85507930579506,2.3733686318721463
338,11003,34.0,Keller - La Roquette,48.8555508,2.3752778
339,11004,34.0,Charonne - Faubourg Saint-Antoine,48.852191909696,2.3740932717919
340,11006,37.0,Ledru-Rollin - Place du Père Chaillet,48.8564337069437,2.379020587761426
341,11007,78.0,Jean Macé - Faidherbe,48.85337548426,2.3828620836139
342,11009,38.0,Boulets - Voltaire,48.85218705621,2.3890301585197
343,11010,43.0,Boulets - Faubourg Saint-Antoine,48.849259262115,2.3917546141943
344,11011,25.0,Richard Lenoir - Voltaire,48.86164273878,2.3727491497993
345,11012,34.0,Montreuil - Voltaire,48.850507011842,2.3930755582745
346,11014,47.0,Place de la Nation - Taillebourg,48.8488408,2.3973043
347,11016,48.0,Philippe-Auguste,48.851853488265,2.3932945355773
348,11017,47.0,Charonne - Bureau,48.854176,2.396093
349,11018,50.0,Saint-Maur - République,48.864185861455,2.3783174157143
